start,end,수직거리,수평거리,gradient,is_stair,is_단차,special,color
정문,중앙광장1,2,35,0.057142857,0,0,상,orange
정문,중지입구1,2,66,0.03030303,0,0,상,green
정문,중지입구2,2,77,0.025974026,0,0,상,green
중지입구1,백기2,0,34,0,0,0,중,green
중지입구1,중앙광장1,1,55,0.018181818,0,0,상,green
백기2,백기1,1,38,0.026315789,0,0,상,green
고려대역 1번출구,고려대역 쪽길,5,56,0.089285714,1,0,상,red
백기2,고려대역 쪽길,2,62,0.032258065,0,0,상,green
고려대역 쪽길,백기3,1,30,0.033333333,0,0,상,green
엘포관2,엘포관1,2,50,0.04,0,0,상,green
엘포관1,현차관,1,36,0.027777778,0,0,상,green
경영본관1,엘포관1,1,35,0.028571429,0,0,상,green
백기3,엘포관2,1,31,0.032258065,0,0,상,green
경영본관2,엘포관2,1,29,0.034482759,0,0,상,green
경영본관1,경영본관2,1,50,0.02,0,0,상,green
경영본관2,경영본관3,1,22,0.045454545,0,0,중,green
경영본관3,중도앞사거리,2,32,0.0625,0,0,중,orange
중도앞사거리,중앙도서관,1,37,0.027027027,0,0,상,green
사범대,중앙도서관,2,48,0.041666667,0,0,상,green
경영대 뒤 공터,사범대,3,78,0.038461538,0,0,상,green
사범대,운초우선교육관1,2,55,0.036363636,0,0,중,green
운초우선교육관1,운초우선교육관2,1,24,0.041666667,0,0,상,green
운초우선교육관2,cj법학관,8,81,0.098765432,0,0,중,red
중도앞사거리,법학구관,5,59,0.084745763,0,0,상,red
법학구관,cj법학관,3,33,0.090909091,0,0,중,red
cj법학관,법후,3,28,0.107142857,0,0,상,red
법후,법학신관,4,48,0.083333333,1,0,상,red
중도앞사거리,일반대학원,3,102,0.029411765,0,0,중,green
일반대학원,동원글로벌 리더십홀,8,75,0.106666667,0,0,중,red
cj법학관,동원글로벌 리더십홀,4,99,0.04040404,0,0,하,red
중도앞사거리,동원글로벌 리더십홀,11,127,0.086614173,0,0,상,red
동원글로벌 리더십홀,다람쥐길,5,88,0.056818182,0,0,중,orange
다람쥐길,다람쥐길 계단,2,33,0.060606061,0,0,중,orange
다람쥐길 계단,인촌기념관,8,80,0.1,1,0,중,red
다람쥐길 계단,서관3,1,39,0.025641026,0,0,상,green
서관3,서관2,7,64,0.109375,0,0,중,red
서관1,서관2,1,46,0.02173913,0,0,상,green
서관2,SK미래관4,1,33,0.03030303,1,0,중,red
서관1,인문사회관 옆 교차로,1,66,0.015151515,0,0,하,red
서관1,SK미래관3,2,31,0.064516129,1,0,상,red
서관1,국제관2,1,69,0.014492754,0,0,하,red
국제관2,우체국,3,66,0.045454545,0,0,상,green
우체국,인촌기념관,9,92,0.097826087,0,0,상,red
인촌기념관,인촌기념관 뒷길,6,72,0.083333333,0,0,상,red
국제관1,국제관2,1,32,0.03125,0,0,상,green
국제관2,인문사회관 옆 교차로,1,25,0.04,0,0,상,green
국제관1,타이거플라자,1,41,0.024390244,0,0,상,green
인문사회관 옆 교차로,민주광장2,1,30,0.033333333,0,0,상,green
인문사회관 앞 공터,민주광장1,3,55,0.054545455,1,0,중,red
인문사회관 앞 공터,민주광장2,0,32,0,0,0,상,green
SK미래관3,민주광장2,1,56,0.017857143,0,0,상,green
SK미래관3,인문사회관 옆 교차로,1,52,0.019230769,0,0,중,green
