노드명,위경도,위도,경도
중지입구1,"127.034375,37.58876944444444,0",37.58876944,127.034375
정문,"127.0342361111111,37.58819166666667,0",37.58819167,127.0342361
백기2,"127.0346172239856,37.58898431649284,0",37.58898432,127.0346172
백기1,"127.0342861111111,37.58916666666667,0",37.58916667,127.0342861
백기3,"127.0349956803513,37.58961574804985,0",37.58961575,127.0349957
경영본관2,"127.034575,37.59003055555556,0",37.59003056,127.034575
경영본관3,"127.0343580848903,37.59015630614213,0",37.59015631,127.0343581
경영본관1,"127.0349277777778,37.59034722222223,0",37.59034722,127.0349278
현차관,"127.0355138888889,37.59041111111112,0",37.59041111,127.0355139
중앙도서관,"127.0343916666667,37.59061666666667,0",37.59061667,127.0343917
호상,"127.0337388888889,37.58963888888889,0",37.58963889,127.0337389
사범대,"127.0346222222222,37.59089722222222,0",37.59089722,127.0346222
운초우선교육관1,"127.0342138888889,37.59129444444444,0",37.59129444,127.0342139
운초우선교육관2,"127.03400001695,37.59137669684776,0",37.5913767,127.034
법학구관,"127.0336194444444,37.59070000000001,0",37.5907,127.0336194
cj법학관,"127.033370853636,37.59092614887058,0",37.59092615,127.0333709
법학신관,"127.0328460136699,37.59074737461066,0",37.59074737,127.032846
일반대학원,"127.0332380836147,37.58973054400773,0",37.58973054,127.0332381
동원글로벌 리더십홀,"127.0326770795153,37.59017988819617,0",37.59017989,127.0326771
중도앞사거리,"127.034093752385,37.59035345848116,0",37.59035346,127.0340938
다람쥐길,"127.0321713257194,37.58963995248095,0",37.58963995,127.0321713
다람쥐길 계단,"127.0319348705312,37.5893593732973,0",37.58935937,127.0319349
서관3,"127.0317327174563,37.58909830540286,0",37.58909831,127.0317327
서관1,"127.0319027795008,37.58844430234406,0",37.5884443,127.0319028
서관2,"127.0322499774146,37.58873243093324,0",37.58873243,127.03225
인문사회관 옆 교차로,"127.0314498081744,37.5879971770473,0",37.58799718,127.0314498
인문사회관 앞 공터,"127.0313574069743,37.58757726065961,0",37.58757726,127.0313574
국제관1,"127.0309881711701,37.58793093423927,0",37.58793093,127.0309882
국제관2,"127.0311923250016,37.58814879893631,0",37.5881488,127.0311923
우체국,"127.0311455782573,37.58871228313178,0",37.58871228,127.0311456
