노드명,위경도,위도,경도
이공캠_후문(N),"127.0255712930874,37.58611655506034,0",37.58611656,127.0255713
보건과학대학1,"127.0256912503962,37.58582546873598,0",37.58582547,127.0256913
보건과학대학2,"127.0250364525165,37.58553236039723,0",37.58553236,127.0250365
보건과학대학3,"127.0245542942241,37.58521134672728,0",37.58521135,127.0245543
보건과학대학4,"127.0253313041729,37.58567343521108,0",37.58567344,127.0253313
아산이학관1,"127.0260999361045,37.58524736032786,0",37.58524736,127.0260999
아산이학관2,"127.0255779970577,37.58500333605468,0",37.58500334,127.025578
아산이학관3,"127.0250638998396,37.58476778069262,0",37.58476778,127.0250639
아산이학관4,"127.0248367122433,37.58485402400594,0",37.58485402,127.0248367
아산이학관5,"127.0244719705482,37.58465321692454,0",37.58465322,127.024472
산학관1,"127.0245460786261,37.58453612485948,0",37.58453612,127.0245461
산학관2,"127.0248309511051,37.58410414298002,0",37.58410414,127.024831
산학관3,"127.0246399249799,37.58441009711616,0",37.5844101,127.0246399
공학관1,"127.0257462558077,37.58443976082154,0",37.58443976,127.0257463
공학관2,"127.0259582405395,37.58401893586614,0",37.58401894,127.0259582
공학관3,"127.0261866417554,37.58354312594334,0",37.58354313,127.0261866
공학관4,"127.0254733740903,37.58378884713106,0",37.58378885,127.0254734
창의관1,"127.0263495141195,37.58323799711739,0",37.583238,127.0263495
창의관2,"127.0266142870348,37.58289427121759,0",37.58289427,127.0266143
신공학관1,"127.0268348738988,37.58258707863365,0",37.58258708,127.0268349
신공학관2,"127.0270225288224,37.58233222721052,0",37.58233223,127.0270225
이공캠_주차장1,"127.0273732011054,37.58319569125961,0",37.58319569,127.0273732
이공캠_주차장2,"127.0281157971994,37.58351315782225,0",37.58351316,127.0281158
이공캠_주차장3,"127.0275579653835,37.58294410007622,0",37.5829441,127.027558
노벨광장,"127.0284309590194,37.58362756148064,0",37.58362756,127.028431
애기능학생회관1,"127.0273940217866,37.58250063004616,0",37.58250063,127.027394
애기능학생회관2,"127.0278591630354,37.58271106499804,0",37.58271106,127.0278592
이공캠_후문(S),"127.0282192465977,37.58248189871851,0",37.5824819,127.0282192
아산이학관_별관1,"127.0279162802025,37.58379271122747,0",37.58379271,127.0279163
아산이학관_별관2,"127.0277463480886,37.58403363508467,0",37.58403364,127.0277463
애기능생활관1,"127.0282380891939,37.58396830280256,0",37.5839683,127.0282381
애기능생활관2,"127.0280198186585,37.58432064748107,0",37.58432065,127.0280198
애기능생활관3,"127.0276621727081,37.58467726992293,0",37.58467727,127.0276622
과학도서관1,"127.0259367655086,37.58448136138012,0",37.58448136,127.0259368
과학도서관2,"127.0265065249435,37.58473772761887,0",37.58473773,127.0265065
과학도서관3,"127.027219196265,37.58509230386436,0",37.5850923,127.0272192
과학도서관4,"127.0275734686523,37.58494347873675,0",37.58494348,127.0275735
생명과학관_서관1,"127.026829366238,37.58555862154775,0",37.58555862,127.0268294
하나스퀘어1,"127.0271300839367,37.58524062751482,0",37.58524063,127.0271301
하나스퀘어2,"127.0262827983082,37.58499680758064,0",37.58499681,127.0262828
하나스퀘어3,"127.0256537833795,37.58486721583056,0",37.58486722,127.0256538
하나스퀘어4,"127.024901165099,37.58467925532494,0",37.58467926,127.0249012
하나스퀘어5,"127.0251386533405,37.5843402920369,0",37.58434029,127.0251387
하나스퀘어6,"127.0252052604404,37.5842129677164,0",37.58421297,127.0252053
하나스퀘어7,"127.025043410979,37.58445387546572,0",37.58445388,127.0250434
이공캠_정문,"127.0274176695091,37.58611438230716,0",37.58611438,127.0274177
생명과학관_동관1,"127.0275304591841,37.58534445012384,0",37.58534445,127.0275305
생명과학관_동관2,"127.0280256933529,37.58550970318718,0",37.5855097,127.0280257
우정정보관,"127.0284168784728,37.58506510616538,0",37.58506511,127.0284169
미래융합기술관,"127.0281970587048,37.58492963290775,0",37.58492963,127.0281971
